2016-03-10 22:20:17 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:19 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:49 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:51 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:53 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:55 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:57 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:20:59 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:01 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:03 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:05 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:07 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:09 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:11 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:13 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:15 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:17 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:19 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:49 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:51 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:53 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:55 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:57 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:21:59 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:01 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:03 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:05 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:07 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:09 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:11 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:13 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:15 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:17 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:19 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:21 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:23 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:25 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:27 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:29 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:31 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:33 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:35 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:37 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:39 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:41 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:43 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:45 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:47 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:49 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:51 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:53 - Arduino state updated to weight:125g_temperature:39C;

2016-03-10 22:22:55 - Arduino state updated to weight:125g_temperature:39C;

